Freq. Range[4,7.990000e+00]
Name;#Ephocs;Power
001_IBOE.set;1;-3.121781
002_IBOE.set;1;-3.093446
003_IBOE.set;1;-1.305855
004_IBOE.set;1;8.135188
005_IBOE.set;1;-8.173941
006_IBOE.set;1;-1.409002
007_IBOE.set;1;-1.372652
008_IBOE.set;1;-0.010664
